,IndexX,IndexY,ImageX,ImageY,R,oldG,oldB,RX,RY,Well_ID,Hash,G,B,PlaneX,PlaneY,Cluster,Label,Barcode
0,8,1,558,424,21640.304,4260.4,9503.952,558.0,424.0,77.0,-8822300284243858963,4070.32096,9205.724,-0.5032021835996681,-0.47269836198818865,2,PAO1_OD04_2,"[15, 5, 30]"
1,8,1,324,496,17230.528000000002,6618.880000000003,6101.6399999999985,324.0,496.0,39.0,-8822300284125023965,6496.847200000003,5638.318399999999,-0.36551770055926747,-0.6159928332154225,7,PAO1_OD04_1,"[10, 10, 30]"
5,8,1,762,495,245.16799999999995,15735.12,18596.708,762.0,495.0,254.0,-8822300284039975388,15363.18584,17495.2496,0.45668798163925806,0.05699970891144768,0,LB3,"[30, 20, 0]"
6,8,1,620,496,20728.512,4122.76,9198.632,620.0,496.0,147.0,-8822300283989878281,3938.78736,8910.038800000002,-0.500031436678958,-0.46928260021431056,2,PAO1_OD04_2,"[15, 5, 30]"
7,8,1,148,494,23122.287999999997,4520.5999999999985,9973.22,148.0,494.0,243.0,-8822300284027159849,4321.135599999999,9656.778000000002,-0.5067668527170484,-0.4794218045435094,2,PAO1_OD04_2,"[15, 5, 30]"
8,8,1,28,494,241.47199999999995,14147.079999999998,16439.951999999994,28.0,494.0,142.0,-8822300284021334604,13818.280959999998,15449.656399999998,0.4600840631667593,0.04710034765670412,0,LB3,"[30, 20, 0]"
9,8,1,559,474,439.04000000000013,16741.76,19304.248000000003,559.0,474.0,139.0,-8822300284017839457,16355.675039999998,18132.3248,0.45571096528402505,0.0382972552534529,0,LB3,"[30, 20, 0]"
10,8,1,589,472,18050.872,6797.48,6280.819999999999,589.0,472.0,214.0,-8822300284067936564,6671.8636,5804.996399999999,-0.37274332728025783,-0.6196902934027331,7,PAO1_OD04_1,"[10, 10, 30]"
12,8,1,502,473,17890.599999999995,6769.44,6206.428000000001,502.0,473.0,43.0,-8822300284129684161,6645.31144,5732.5672,-0.3715181292639952,-0.621218676486477,7,PAO1_OD04_1,"[10, 10, 30]"
13,8,1,413,471,307.384,16017.919999999998,19037.28,413.0,471.0,129.0,-8822300284006188967,15637.174399999998,17916.025599999994,0.45273260496629364,0.058223071403611826,0,LB3,"[30, 20, 0]"
