,IndexX,IndexY,ImageX,ImageY,R,oldG,oldB,RX,RY,Well_ID,Hash,G,B
0,8,1,558,424,21640.303999999996,4260.4,9503.952,558.0,424.0,77.0,-8822300284243858963,4070.3209599999996,9205.724
1,8,1,324,496,17230.528,6618.880000000002,6101.639999999999,324.0,496.0,39.0,-8822300284125023965,6496.847200000002,5638.318399999999
5,8,1,762,495,245.16799999999995,15735.12,18596.708,762.0,495.0,254.0,-8822300284039975388,15363.18584,17495.2496
6,8,1,620,496,20728.512,4122.76,9198.632000000001,620.0,496.0,147.0,-8822300283989878281,3938.7873600000003,8910.038800000002
7,8,1,148,494,23122.288,4520.5999999999985,9973.220000000001,148.0,494.0,243.0,-8822300284027159849,4321.135599999999,9656.778000000002
8,8,1,28,494,241.47199999999995,14147.079999999998,16439.951999999997,28.0,494.0,142.0,-8822300284021334604,13818.280959999998,15449.656399999998
9,8,1,559,474,439.0400000000001,16741.76,19304.248000000003,559.0,474.0,139.0,-8822300284017839457,16355.675039999998,18132.324800000002
10,8,1,589,472,18050.872,6797.48,6280.819999999999,589.0,472.0,214.0,-8822300284067936564,6671.8636,5804.996399999999
12,8,1,502,473,17890.599999999995,6769.44,6206.428000000001,502.0,473.0,43.0,-8822300284129684161,6645.3114399999995,5732.5672
13,8,1,413,471,307.38399999999996,16017.919999999998,19037.28,413.0,471.0,129.0,-8822300284006188967,15637.174399999998,17916.025599999997
15,8,1,88,470,286.664,15739.720000000001,18675.043999999994,88.0,470.0,188.0,-8822300283963082154,15366.219120000002,17573.263599999995
16,8,1,969,469,188.49599999999998,14790.6,17695.368,969.0,469.0,94.0,-8822300284226383228,14436.692640000001,16660.025999999998
17,8,1,295,469,276.584,15954.6,18743.724000000002,295.0,469.0,57.0,-8822300284108713279,15579.72552,17626.902000000002
18,8,1,177,469,10495.519999999997,3061.1600000000003,8192.436000000002,177.0,469.0,222.0,-8822300284077256956,2897.3112800000004,7978.154800000001
19,8,1,234,467,22264.088000000003,4412.08,9655.116,234.0,467.0,209.0,-8822300284062111319,4218.97768,9346.2704
20,8,1,647,448,22165.696,4389.2,9784.316,647.0,448.0,133.0,-8822300284010849163,4193.51368,9477.072
21,8,1,590,448,1390.536,1315.0800000000004,21476.78,590.0,448.0,214.0,-8822300284067936564,885.5444000000005,21384.7244
22,8,1,413,448,1456.6159999999998,1404.6000000000001,22217.572000000004,413.0,448.0,129.0,-8822300284006188967,960.24856,22119.250000000004
